"customer_key","product_key","sales_territory_key","order_date","order_year","order_quarter","order_month","order_month_name","gender","occupation","annual_income","product_name","product_sku","category_name","subcategory_name","country","region","continent","order_quantity","unit_cost","unit_price","revenue","total_price","profit"
"25977","351","4","2020-01-03 00:00:00.000","2020","1","1","January","F","Professional","60000","Mountain-100 Black, 48","BK-M82B-48","Bikes","Mountain Bikes","United States","Southwest","North America","1","1898.09","3374.99","3374.99","1898.09","1476.9"
"18909","314","9","2020-01-03 00:00:00.000","2020","1","1","January","F","Skilled Manual","80000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"11388","350","10","2020-01-03 00:00:00.000","2020","1","1","January","M","Clerical","40000","Mountain-100 Black, 44","BK-M82B-44","Bikes","Mountain Bikes","United Kingdom","United Kingdom","Europe","1","1898.09","3374.99","3374.99","1898.09","1476.9"
"22785","310","6","2020-01-03 00:00:00.000","2020","1","1","January","M","Skilled Manual","70000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","Canada","Canada","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"12483","312","7","2020-01-04 00:00:00.000","2020","1","1","January","F","Manual","20000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","France","France","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29151","313","4","2020-01-04 00:00:00.000","2020","1","1","January","F","Skilled Manual","60000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29167","310","1","2020-01-04 00:00:00.000","2020","1","1","January","F","Professional","80000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United States","Northwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"11394","344","10","2020-01-04 00:00:00.000","2020","1","1","January","M","Manual","10000","Mountain-100 Silver, 38","BK-M82S-38","Bikes","Mountain Bikes","United Kingdom","United Kingdom","Europe","1","1912.15","3399.99","3399.99","1912.15","1487.84"
"29174","312","1","2020-01-04 00:00:00.000","2020","1","1","January","M","Professional","80000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","United States","Northwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"22748","313","6","2020-01-05 00:00:00.000","2020","1","1","January","M","Management","70000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","Canada","Canada","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"19428","326","8","2020-01-05 00:00:00.000","2020","1","1","January","M","Clerical","30000","Road-650 Red, 44","BK-R50R-44","Bikes","Road Bikes","Germany","Germany","Europe","1","413.15","699.1","699.1","413.15","285.95"
"29274","310","4","2020-01-05 00:00:00.000","2020","1","1","January","M","Professional","120000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29142","310","4","2020-01-06 00:00:00.000","2020","1","1","January","F","Professional","60000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"22975","310","6","2020-01-06 00:00:00.000","2020","1","1","January","F","Clerical","30000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","Canada","Canada","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"22765","312","6","2020-01-06 00:00:00.000","2020","1","1","January","M","Professional","60000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","Canada","Canada","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29140","310","1","2020-01-06 00:00:00.000","2020","1","1","January","M","Professional","60000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United States","Northwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"19987","348","6","2020-01-06 00:00:00.000","2020","1","1","January","F","Professional","60000","Mountain-100 Black, 38","BK-M82B-38","Bikes","Mountain Bikes","Canada","Canada","North America","1","1898.09","3374.99","3374.99","1898.09","1476.9"
"29275","312","4","2020-01-06 00:00:00.000","2020","1","1","January","F","Management","70000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"14937","311","10","2020-01-07 00:00:00.000","2020","1","1","January","M","Manual","10000","Road-150 Red, 44","BK-R93R-44","Bikes","Road Bikes","United Kingdom","United Kingdom","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"20558","324","10","2020-01-07 00:00:00.000","2020","1","1","January","F","Professional","170000","Road-650 Red, 62","BK-R50R-62","Bikes","Road Bikes","United Kingdom","United Kingdom","Europe","1","413.15","699.1","699.1","413.15","285.95"
"25713","326","9","2020-01-07 00:00:00.000","2020","1","1","January","F","Clerical","20000","Road-650 Red, 44","BK-R50R-44","Bikes","Road Bikes","Australia","Australia","Pacific","1","413.15","699.1","699.1","413.15","285.95"
"18710","311","9","2020-01-07 00:00:00.000","2020","1","1","January","M","Management","130000","Road-150 Red, 44","BK-R93R-44","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18740","314","9","2020-01-08 00:00:00.000","2020","1","1","January","M","Professional","80000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"14727","342","1","2020-01-08 00:00:00.000","2020","1","1","January","F","Skilled Manual","60000","Road-650 Black, 52","BK-R50B-52","Bikes","Road Bikes","United States","Northwest","North America","1","413.15","699.1","699.1","413.15","285.95"
"29204","311","1","2020-01-08 00:00:00.000","2020","1","1","January","M","Professional","90000","Road-150 Red, 44","BK-R93R-44","Bikes","Road Bikes","United States","Northwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29146","310","1","2020-01-08 00:00:00.000","2020","1","1","January","M","Skilled Manual","60000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United States","Northwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"25984","348","4","2020-01-08 00:00:00.000","2020","1","1","January","F","Professional","60000","Mountain-100 Black, 38","BK-M82B-38","Bikes","Mountain Bikes","United States","Southwest","North America","1","1898.09","3374.99","3374.99","1898.09","1476.9"
"18722","314","9","2020-01-08 00:00:00.000","2020","1","1","January","M","Professional","60000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29141","313","4","2020-01-08 00:00:00.000","2020","1","1","January","F","Professional","60000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"11751","344","9","2020-01-08 00:00:00.000","2020","1","1","January","F","Management","80000","Mountain-100 Silver, 38","BK-M82S-38","Bikes","Mountain Bikes","Australia","Australia","Pacific","1","1912.15","3399.99","3399.99","1912.15","1487.84"
"18725","313","9","2020-01-09 00:00:00.000","2020","1","1","January","F","Professional","90000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29236","314","4","2020-01-09 00:00:00.000","2020","1","1","January","M","Professional","120000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"22971","311","6","2020-01-09 00:00:00.000","2020","1","1","January","F","Skilled Manual","30000","Road-150 Red, 44","BK-R93R-44","Bikes","Road Bikes","Canada","Canada","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29169","310","1","2020-01-09 00:00:00.000","2020","1","1","January","F","Professional","60000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United States","Northwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"11759","350","9","2020-01-10 00:00:00.000","2020","1","1","January","F","Management","110000","Mountain-100 Black, 44","BK-M82B-44","Bikes","Mountain Bikes","Australia","Australia","Pacific","1","1898.09","3374.99","3374.99","1898.09","1476.9"
"29158","313","1","2020-01-10 00:00:00.000","2020","1","1","January","M","Skilled Manual","60000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","United States","Northwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18726","310","9","2020-01-10 00:00:00.000","2020","1","1","January","F","Professional","60000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"12480","311","7","2020-01-10 00:00:00.000","2020","1","1","January","F","Manual","10000","Road-150 Red, 44","BK-R93R-44","Bikes","Road Bikes","France","France","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"19084","312","9","2020-01-11 00:00:00.000","2020","1","1","January","F","Professional","70000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"14975","313","10","2020-01-11 00:00:00.000","2020","1","1","January","M","Skilled Manual","40000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","United Kingdom","United Kingdom","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"22895","314","6","2020-01-11 00:00:00.000","2020","1","1","January","M","Professional","70000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","Canada","Canada","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"11452","349","9","2020-01-11 00:00:00.000","2020","1","1","January","F","Professional","80000","Mountain-100 Black, 42","BK-M82B-42","Bikes","Mountain Bikes","Australia","Australia","Pacific","1","1898.09","3374.99","3374.99","1898.09","1476.9"
"25985","350","4","2020-01-11 00:00:00.000","2020","1","1","January","M","Professional","60000","Mountain-100 Black, 44","BK-M82B-44","Bikes","Mountain Bikes","United States","Southwest","North America","1","1898.09","3374.99","3374.99","1898.09","1476.9"
"18735","310","9","2020-01-11 00:00:00.000","2020","1","1","January","F","Professional","70000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29163","314","1","2020-01-11 00:00:00.000","2020","1","1","January","M","Professional","60000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","United States","Northwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"25979","344","1","2020-01-11 00:00:00.000","2020","1","1","January","M","Professional","70000","Mountain-100 Silver, 38","BK-M82S-38","Bikes","Mountain Bikes","United States","Northwest","North America","1","1912.15","3399.99","3399.99","1912.15","1487.84"
"29264","310","4","2020-01-11 00:00:00.000","2020","1","1","January","F","Management","90000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29222","312","4","2020-01-12 00:00:00.000","2020","1","1","January","M","Management","160000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29278","310","4","2020-01-12 00:00:00.000","2020","1","1","January","F","Management","70000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"22901","311","6","2020-01-12 00:00:00.000","2020","1","1","January","F","Professional","60000","Road-150 Red, 44","BK-R93R-44","Bikes","Road Bikes","Canada","Canada","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18716","314","9","2020-01-12 00:00:00.000","2020","1","1","January","M","Professional","70000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"19093","311","9","2020-01-12 00:00:00.000","2020","1","1","January","F","Management","100000","Road-150 Red, 44","BK-R93R-44","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"12485","312","7","2020-01-12 00:00:00.000","2020","1","1","January","F","Manual","20000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","France","France","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"12468","314","7","2020-01-12 00:00:00.000","2020","1","1","January","M","Clerical","30000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","France","France","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"14656","342","1","2020-01-13 00:00:00.000","2020","1","1","January","M","Professional","80000","Road-650 Black, 52","BK-R50B-52","Bikes","Road Bikes","United States","Northwest","North America","1","413.15","699.1","699.1","413.15","285.95"
"29166","312","4","2020-01-13 00:00:00.000","2020","1","1","January","M","Professional","80000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"14950","310","10","2020-01-13 00:00:00.000","2020","1","1","January","F","Manual","10000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United Kingdom","United Kingdom","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"14941","314","10","2020-01-14 00:00:00.000","2020","1","1","January","F","Manual","20000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","United Kingdom","United Kingdom","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18767","313","9","2020-01-14 00:00:00.000","2020","1","1","January","M","Management","40000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29202","314","1","2020-01-14 00:00:00.000","2020","1","1","January","M","Professional","70000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","United States","Northwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"25980","346","1","2020-01-14 00:00:00.000","2020","1","1","January","F","Professional","70000","Mountain-100 Silver, 44","BK-M82S-44","Bikes","Mountain Bikes","United States","Northwest","North America","1","1912.15","3399.99","3399.99","1912.15","1487.84"
"11750","344","9","2020-01-14 00:00:00.000","2020","1","1","January","F","Professional","60000","Mountain-100 Silver, 38","BK-M82S-38","Bikes","Mountain Bikes","Australia","Australia","Pacific","1","1912.15","3399.99","3399.99","1912.15","1487.84"
"11465","344","9","2020-01-14 00:00:00.000","2020","1","1","January","M","Professional","90000","Mountain-100 Silver, 38","BK-M82S-38","Bikes","Mountain Bikes","Australia","Australia","Pacific","1","1912.15","3399.99","3399.99","1912.15","1487.84"
"18900","312","9","2020-01-14 00:00:00.000","2020","1","1","January","M","Clerical","30000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"19089","310","9","2020-01-14 00:00:00.000","2020","1","1","January","F","Professional","90000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29276","310","1","2020-01-14 00:00:00.000","2020","1","1","January","F","Management","70000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United States","Northwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18721","312","9","2020-01-15 00:00:00.000","2020","1","1","January","M","Professional","60000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"28419","344","7","2020-01-15 00:00:00.000","2020","1","1","January","F","Skilled Manual","40000","Mountain-100 Silver, 38","BK-M82S-38","Bikes","Mountain Bikes","France","France","Europe","1","1912.15","3399.99","3399.99","1912.15","1487.84"
"25714","328","9","2020-01-15 00:00:00.000","2020","1","1","January","M","Clerical","20000","Road-650 Red, 48","BK-R50R-48","Bikes","Road Bikes","Australia","Australia","Pacific","1","413.15","699.1","699.1","413.15","285.95"
"11400","349","10","2020-01-15 00:00:00.000","2020","1","1","January","M","Clerical","40000","Mountain-100 Black, 42","BK-M82B-42","Bikes","Mountain Bikes","United Kingdom","United Kingdom","Europe","1","1898.09","3374.99","3374.99","1898.09","1476.9"
"25978","349","4","2020-01-15 00:00:00.000","2020","1","1","January","F","Professional","90000","Mountain-100 Black, 42","BK-M82B-42","Bikes","Mountain Bikes","United States","Southwest","North America","1","1898.09","3374.99","3374.99","1898.09","1476.9"
"14984","310","10","2020-01-15 00:00:00.000","2020","1","1","January","F","Clerical","30000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United Kingdom","United Kingdom","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"11453","349","9","2020-01-15 00:00:00.000","2020","1","1","January","M","Professional","80000","Mountain-100 Black, 42","BK-M82B-42","Bikes","Mountain Bikes","Australia","Australia","Pacific","1","1898.09","3374.99","3374.99","1898.09","1476.9"
"18706","311","9","2020-01-16 00:00:00.000","2020","1","1","January","M","Management","110000","Road-150 Red, 44","BK-R93R-44","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18766","314","9","2020-01-16 00:00:00.000","2020","1","1","January","M","Clerical","30000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"11754","345","9","2020-01-16 00:00:00.000","2020","1","1","January","F","Professional","90000","Mountain-100 Silver, 42","BK-M82S-42","Bikes","Mountain Bikes","Australia","Australia","Pacific","1","1912.15","3399.99","3399.99","1912.15","1487.84"
"11462","351","9","2020-01-16 00:00:00.000","2020","1","1","January","F","Management","110000","Mountain-100 Black, 48","BK-M82B-48","Bikes","Mountain Bikes","Australia","Australia","Pacific","1","1898.09","3374.99","3374.99","1898.09","1476.9"
"19083","312","9","2020-01-16 00:00:00.000","2020","1","1","January","M","Professional","70000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18738","312","9","2020-01-16 00:00:00.000","2020","1","1","January","F","Professional","70000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"22881","313","6","2020-01-16 00:00:00.000","2020","1","1","January","M","Skilled Manual","40000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","Canada","Canada","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18008","334","7","2020-01-17 00:00:00.000","2020","1","1","January","F","Clerical","30000","Road-650 Black, 60","BK-R50B-60","Bikes","Road Bikes","France","France","Europe","1","413.15","699.1","699.1","413.15","285.95"
"29254","313","1","2020-01-17 00:00:00.000","2020","1","1","January","F","Professional","60000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","United States","Northwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29198","313","4","2020-01-17 00:00:00.000","2020","1","1","January","F","Skilled Manual","60000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"11457","351","9","2020-01-17 00:00:00.000","2020","1","1","January","F","Professional","90000","Mountain-100 Black, 48","BK-M82B-48","Bikes","Mountain Bikes","Australia","Australia","Pacific","1","1898.09","3374.99","3374.99","1898.09","1476.9"
"11456","347","9","2020-01-17 00:00:00.000","2020","1","1","January","M","Professional","120000","Mountain-100 Silver, 48","BK-M82S-48","Bikes","Mountain Bikes","Australia","Australia","Pacific","1","1912.15","3399.99","3399.99","1912.15","1487.84"
"18903","314","9","2020-01-17 00:00:00.000","2020","1","1","January","M","Skilled Manual","30000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29157","314","4","2020-01-17 00:00:00.000","2020","1","1","January","M","Professional","60000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29238","313","4","2020-01-17 00:00:00.000","2020","1","1","January","M","Professional","150000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"15046","311","10","2020-01-18 00:00:00.000","2020","1","1","January","F","Clerical","40000","Road-150 Red, 44","BK-R93R-44","Bikes","Road Bikes","United Kingdom","United Kingdom","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"25717","320","9","2020-01-18 00:00:00.000","2020","1","1","January","M","Clerical","20000","Road-650 Red, 58","BK-R50R-58","Bikes","Road Bikes","Australia","Australia","Pacific","1","413.15","699.1","699.1","413.15","285.95"
"25711","334","9","2020-01-18 00:00:00.000","2020","1","1","January","M","Clerical","20000","Road-650 Black, 60","BK-R50B-60","Bikes","Road Bikes","Australia","Australia","Pacific","1","413.15","699.1","699.1","413.15","285.95"
"14929","310","10","2020-01-18 00:00:00.000","2020","1","1","January","M","Clerical","30000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United Kingdom","United Kingdom","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"14949","310","10","2020-01-18 00:00:00.000","2020","1","1","January","M","Skilled Manual","30000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United Kingdom","United Kingdom","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18769","312","9","2020-01-18 00:00:00.000","2020","1","1","January","F","Management","40000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"14991","313","10","2020-01-19 00:00:00.000","2020","1","1","January","M","Clerical","30000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","United Kingdom","United Kingdom","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"14660","328","1","2020-01-19 00:00:00.000","2020","1","1","January","F","Professional","60000","Road-650 Red, 48","BK-R50R-48","Bikes","Road Bikes","United States","Northwest","North America","1","413.15","699.1","699.1","413.15","285.95"
"15047","310","10","2020-01-19 00:00:00.000","2020","1","1","January","F","Clerical","30000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United Kingdom","United Kingdom","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"14861","311","10","2020-01-19 00:00:00.000","2020","1","1","January","F","Clerical","40000","Road-150 Red, 44","BK-R93R-44","Bikes","Road Bikes","United Kingdom","United Kingdom","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18931","313","9","2020-01-19 00:00:00.000","2020","1","1","January","F","Skilled Manual","70000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29145","310","1","2020-01-19 00:00:00.000","2020","1","1","January","F","Skilled Manual","60000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United States","Northwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18739","311","9","2020-01-20 00:00:00.000","2020","1","1","January","F","Skilled Manual","60000","Road-150 Red, 44","BK-R93R-44","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18929","313","9","2020-01-20 00:00:00.000","2020","1","1","January","M","Skilled Manual","80000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"22889","310","6","2020-01-20 00:00:00.000","2020","1","1","January","F","Skilled Manual","60000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","Canada","Canada","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29221","313","4","2020-01-20 00:00:00.000","2020","1","1","January","F","Management","150000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"14846","314","10","2020-01-20 00:00:00.000","2020","1","1","January","F","Manual","20000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","United Kingdom","United Kingdom","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18902","314","9","2020-01-20 00:00:00.000","2020","1","1","January","M","Skilled Manual","30000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29168","312","4","2020-01-21 00:00:00.000","2020","1","1","January","M","Professional","80000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
